rank,in_serious_skim_300,in_deep_read_225,in_hostile_prior_100,openalex_id,title,year,authors,venue,url_or_doi,cited_by_count,source_queries,tags,relevance_score,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
11,yes,yes,yes,https://openalex.org/W1531736288,Toward lifelong visual localization and mapping,2013,Hordur Johannsson,https://doi.org/10.1575/1912/5980,https://doi.org/10.1575/1912/5980,5,lifelong SLAM dynamic environments robot navigation | long horizon robot navigation mapping memory,slam | dynamic | memory | planning | vision | learning,39.8782,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | changes are stationary over deployment time,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Mobile robotic systems operating over long durations require algorithms that are robust and scale efficiently over time as sensor information is continually collected. For mobile robots one of the fundamental problems is navigation; which requires the robot to have a map of its environment, so it can plan its path and execute it. Having the robot use its perception sensors to do simultaneous localization and mapping (SLAM) is beneficial for a fully autonomous system. Extending the time horizon o"
12,yes,yes,yes,https://openalex.org/W3206220808,Lifelong Localization in Semi-Dynamic Environment,2021,"Shifan Zhu, Xinyu Zhang, Shichun Guo, Jun Li, Huaping Liu",https://doi.org/10.1109/icra48506.2021.9561584,https://doi.org/10.1109/icra48506.2021.9561584,12,lifelong SLAM dynamic environments robot navigation,slam | dynamic | semantic | memory | planning,39.1639,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map.,map update and route choice can be separated without losing optimality | dynamic objects are nuisance measurements to remove from a static map | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Mapping and localization in non-static environments are fundamental problems in robotics. Most of previous methods mainly focus on static and highly dynamic objects in the environment, which may suffer from localization failure in semi-dynamic scenarios without considering objects with lower dynamics, such as parked cars and stopped pedestrians. In this paper, we introduce semantic mapping and lifelong localization approaches to recognize semi-dynamic objects in non-static environments. We also"
13,yes,yes,yes,https://openalex.org/W4412093083,"Vision-Based Navigation and Perception for Autonomous Robots: Sensors, SLAM, Control Strategies, and Cross-Domain Applications—A Review",2025,"Eder A. Rodríguez-Martínez, Wendy Flores‐Fuentes, Farouk Achakir, Oleg Sergiyenko, Fabián N. Murrieta-Rico",Eng—Advances in Engineering,https://doi.org/10.3390/eng6070153,21,lifelong SLAM dynamic environments robot navigation | long horizon robot navigation mapping memory,slam | dynamic | semantic | memory | planning | vision | active | learning,39.1424,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; information-gain driven sensing/exploration; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | human activity can be approximated as uniform noise in map cells | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Camera-centric perception has matured into a cornerstone of modern autonomy, from self-driving cars and factory cobots to underwater and planetary exploration. This review synthesizes more than a decade of progress in vision-based robotic navigation through an engineering lens, charting the full pipeline from sensing to deployment. We first examine the expanding sensor palette—monocular and multi-camera rigs, stereo and RGB-D devices, LiDAR–camera hybrids, event cameras, and infrared systems—hig"
14,yes,yes,yes,https://openalex.org/W4389049365,Stability Analysis and Navigational Techniques of Wheeled Mobile Robot: A Review,2023,"Kailash Kumar Borkar, Turki Aljrees, Saroj Kumar Pandey, Ankit Kumar, Mukesh Singh, Anurag Sinha, et al.",Processes,https://doi.org/10.3390/pr11123302,29,dynamic SLAM mobile robots map change detection | long horizon robot navigation mapping memory,dynamic | memory | planning | active | learning,38.8771,Choose sensing or exploration actions that improve map quality for navigation.,change handling or dynamic-object filtering; planner or policy over the represented map; information-gain driven sensing/exploration; learned representation or neural memory module.,closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges | the cost of being wrong is proportional to local reconstruction error,route-level cost of stale-map errors,unobserved reachable changes invalidate an old shortcut | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | sensing-before-acting baseline | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Wheeled mobile robots (WMRs) have been a focus of research for several decades, particularly concerning navigation strategies in static and dynamic environments. This review article carefully examines the extensive academic efforts spanning several decades addressing navigational complexities in the context of WMR route analysis. Several approaches have been explored by various researchers, with a notable emphasis on the inclusion of stability and intelligent capabilities in WMR controllers attr"
15,yes,yes,yes,https://openalex.org/W2797326841,LONG–TERM AUTONOMY OF MOBILE ROBOTS IN CHANGING ENVIRONMENTS,2018,Tomáš Krajník,Cvut DSpace (Czech Technical University),https://openalex.org/W2797326841,2,long term autonomy mobile robot navigation changing environments,dynamic | uncertainty | memory | planning | vision | active,38.8271,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; information-gain driven sensing/exploration.,the cost of being wrong is proportional to local reconstruction error | map changes are observed at the place where they matter for the plan | change probability is a property of places rather than of unobserved interventions that could have reached them,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"This habilitation thesis presents research that aims to enable long-term deployment of&#13;\nmobile robots in changing environments. The presented approaches encompass methods&#13;\nthat ensure robustness of autonomous visual navigation in outdoor environments for prolonged&#13;\ntime periods, spatio-temporal representations that explicitly model the environment&#13;\nchanges over time, and supporting software modules that enable robust and accurate robot&#13;\nlocalisation.&#13;\nThe main contr"
16,yes,yes,yes,https://openalex.org/W4403484670,"A Survey of Computer Vision Detection, Visual SLAM Algorithms, and Their Applications in Energy-Efficient Autonomous Systems",2024,"Lu Chen, Gun Li, Weisi Xie, Jie Tan, Yang Li, Junfeng Pu, et al.",Energies,https://doi.org/10.3390/en17205177,22,lifelong SLAM dynamic environments robot navigation,slam | dynamic | semantic | memory | planning | vision | active | learning,38.8117,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; information-gain driven sensing/exploration; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | long-horizon navigation is limited mainly by localization drift | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Within the area of environmental perception, automatic navigation, object detection, and computer vision are crucial and demanding fields with many applications in modern industries, such as multi-target long-term visual tracking in automated production, defect detection, and driverless robotic vehicles. The performance of computer vision has greatly improved recently thanks to developments in deep learning algorithms and hardware computing capabilities, which have spawned the creation of a larg"
17,yes,yes,yes,https://openalex.org/W7119235237,CausalNav: A Long-term Embodied Navigation System for Autonomous Mobile Robots in Dynamic Outdoor Scenarios,2026,"Hongbo Duan, Shangyi Luo, Zhiyuan Deng, Yanbo Chen, Yuanhao Chiang, Yi Liu, et al.",ArXiv.org,http://arxiv.org/abs/2601.01872,0,lifelong SLAM dynamic environments robot navigation,dynamic | semantic | memory | planning,38.7500,Use semantic or object-level structure to support embodied navigation and map reasoning.,change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map.,change probability is a property of places rather than of unobserved interventions that could have reached them | semantic labels are stable enough that geometry can be updated around them | map changes are observed at the place where they matter for the plan,route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | planner repeatedly commits to stale bottlenecks | semantic persistence masks moved obstacles or closed doors,generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Autonomous language-guided navigation in large-scale outdoor environments remains a key challenge in mobile robotics, due to difficulties in semantic reasoning, dynamic conditions, and long-term stability. We propose CausalNav, the first scene graph-based semantic navigation framework tailored for dynamic outdoor environments. We construct a multi-level semantic scene graph using LLMs, referred to as the Embodied Graph, that hierarchically integrates coarse-grained map data with fine-grained obj"
18,yes,yes,yes,https://openalex.org/W1033316025,FreMEn: Frequency Map Enhancement for Long-Term Mobile Robot Autonomy in Changing Environments,2017,"Tomáš Krajník, Jaime Pulido Fentanes, João Santos, Tom Duckett",IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2017.2665664,154,long term autonomy mobile robot navigation changing environments,dynamic | uncertainty | memory | planning,38.1403,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map.,the cost of being wrong is proportional to local reconstruction error | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"We present a new approach to long-term mobile robot mapping in dynamic indoor environments. Unlike traditional world models that are tailored to represent static scenes, our approach explicitly models environmental dynamics. We assume that some of the hidden processes that influence the dynamic environment states are periodic and model the uncertainty of the estimated state variables by their frequency spectra. The spectral model can represent arbitrary timescales of environment dynamics with lo"
19,yes,yes,yes,https://openalex.org/W3154410890,OFM-SLAM: A Visual Semantic SLAM for Dynamic Indoor Environments,2021,"Xiong Zhao, Tao Zuo, Xinyu Hu",Mathematical Problems in Engineering,https://doi.org/10.1155/2021/5538840,34,dynamic SLAM mobile robots map change detection,slam | dynamic | semantic | memory | planning | vision,37.8941,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; visual place-recognition or appearance-invariant localization.,map update and route choice can be separated without losing optimality | dynamic objects are nuisance measurements to remove from a static map | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Most of the current visual Simultaneous Localization and Mapping (SLAM) algorithms are designed based on the assumption of a static environment, and their robustness and accuracy in the dynamic environment do not behave well. The reason is that moving objects in the scene will cause the mismatch of features in the pose estimation process, which further affects its positioning and mapping accuracy. In the meantime, the three-dimensional semantic map plays a key role in mobile robot navigation, pa"
20,yes,yes,yes,https://openalex.org/W2974282184,Obstacle Persistent Adaptive Map Maintenance for Autonomous Mobile Robots using Spatio-temporal Reasoning,2019,"Meredith L. Pitschl, Mitch Pryor",https://doi.org/10.1109/coase.2019.8843095,https://doi.org/10.1109/coase.2019.8843095,6,long term autonomy mobile robot navigation changing environments,dynamic | uncertainty | memory | planning,37.6951,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map.,the cost of being wrong is proportional to local reconstruction error | map memory can be trusted or discounted as a monotone function of elapsed time | map changes are observed at the place where they matter for the plan,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Mobile robotic systems operate in increasingly realistic scenarios even as users have increased expectations for the duration of autonomous tasks. Mobile robots face unique challenges when operating in environments that change over time, where systems must maintain an accurate representation of the environment with respect to both spatial and temporal dimensions. This paper describes a spatio-temporal technique for extending the autonomy of a mobile robot in a changing environment. This new tech"
